subjID,condA,condB,t,Ms_ad,Mo_ad,Ms_disad,Mo_disad,decision
6,1,1,6,-10,-12,-12,-10,1
6,1,2,6,12,10,10,12,1
6,2,1,6,-10,-12,-12,-10,2
6,2,2,6,12,10,10,12,1
6,1,1,7,-5,-20,-10,-5,1
6,1,2,7,10,5,5,20,1
6,2,1,7,-5,-20,-10,-5,2
6,2,2,7,10,5,5,20,2
6,1,1,8,-5,-10,-10,-5,1
6,1,2,8,10,5,5,10,1
6,2,1,8,-5,-10,-10,-5,1
6,2,2,8,10,5,5,10,1
6,1,1,9,-6,-5,-10,-4.99,1
6,1,2,9,10,4.99,6,5,1
6,2,1,9,-6,-5,-10,-4.99,1
6,2,2,9,10,4.99,6,5,1
6,1,1,10,-4,-5,-10,-4.99,1
6,1,2,10,10,4.99,4,5,1
6,2,1,10,-4,-5,-10,-4.99,1
6,2,2,10,10,4.99,4,5,1
6,1,1,11,-10,-6,-10,-5,2
6,1,2,11,10,5,10,6,2
6,2,1,11,-10,-6,-10,-5,2
6,2,2,11,10,5,10,6,2
6,1,1,12,-10,-12,-8,-10,2
6,1,2,12,8,10,10,12,2
6,2,1,12,-10,-12,-8,-10,2
6,2,2,12,8,10,10,12,2
7,1,1,1,-5,-15,-15,-5,1
7,1,2,1,15,5,5,15,1
7,2,1,1,-5,-15,-15,-5,1
7,2,2,1,15,5,5,15,1
7,1,1,2,-5,-15,-6,-5,2
7,1,2,2,6,5,5,15,1
7,2,1,2,-5,-15,-6,-5,2
7,2,2,2,6,5,5,15,2
7,1,1,3,-5,-6,-6,-5,1
7,1,2,3,6,5,5,6,1
7,2,1,3,-5,-6,-6,-5,2
7,2,2,3,6,5,5,6,2
7,1,1,4,-5,-20,-20,-5,2
7,1,2,4,20,5,5,20,1
7,2,1,4,-5,-20,-20,-5,2
7,2,2,4,20,5,5,20,2
7,1,1,5,-5,-10,-6,-5,2
7,1,2,5,6,5,5,10,1
7,2,1,5,-5,-10,-6,-5,2
7,2,2,5,6,5,5,10,1
7,1,1,6,-10,-12,-12,-10,1
7,1,2,6,12,10,10,12,1
7,2,1,6,-10,-12,-12,-10,2
7,2,2,6,12,10,10,12,2
7,1,1,7,-5,-20,-10,-5,2
7,1,2,7,10,5,5,20,2
7,2,1,7,-5,-20,-10,-5,2
7,2,2,7,10,5,5,20,1
7,1,1,8,-5,-10,-10,-5,1
7,1,2,8,10,5,5,10,2
7,2,1,8,-5,-10,-10,-5,2
7,2,2,8,10,5,5,10,2
7,1,1,9,-6,-5,-10,-4.99,1
7,1,2,9,10,4.99,6,5,2
7,2,1,9,-6,-5,-10,-4.99,1
7,2,2,9,10,4.99,6,5,2
7,1,1,10,-4,-5,-10,-4.99,1
7,1,2,10,10,4.99,4,5,2
7,2,1,10,-4,-5,-10,-4.99,1
7,2,2,10,10,4.99,4,5,2
7,1,1,11,-10,-6,-10,-5,2
7,1,2,11,10,5,10,6,2
7,2,1,11,-10,-6,-10,-5,2
7,2,2,11,10,5,10,6,2
7,1,1,12,-10,-12,-8,-10,2
7,1,2,12,8,10,10,12,1
7,2,1,12,-10,-12,-8,-10,2
7,2,2,12,8,10,10,12,2
8,1,1,1,-5,-15,-15,-5,1
8,1,2,1,15,5,5,15,1
8,2,1,1,-5,-15,-15,-5,1
8,2,2,1,15,5,5,15,2
8,1,1,2,-5,-15,-6,-5,2
8,1,2,2,6,5,5,15,2
8,2,1,2,-5,-15,-6,-5,2
8,2,2,2,6,5,5,15,2
8,1,1,3,-5,-6,-6,-5,1
8,1,2,3,6,5,5,6,1
8,2,1,3,-5,-6,-6,-5,2
8,2,2,3,6,5,5,6,2
8,1,1,4,-5,-20,-20,-5,1
8,1,2,4,20,5,5,20,1
8,2,1,4,-5,-20,-20,-5,1
8,2,2,4,20,5,5,20,1
8,1,1,5,-5,-10,-6,-5,2
8,1,2,5,6,5,5,10,1
8,2,1,5,-5,-10,-6,-5,2
8,2,2,5,6,5,5,10,2
8,1,1,6,-10,-12,-12,-10,1
8,1,2,6,12,10,10,12,1
8,2,1,6,-10,-12,-12,-10,2
8,2,2,6,12,10,10,12,2
8,1,1,7,-5,-20,-10,-5,1
8,1,2,7,10,5,5,20,1
8,2,1,7,-5,-20,-10,-5,2
8,2,2,7,10,5,5,20,1
8,1,1,8,-5,-10,-10,-5,1
8,1,2,8,10,5,5,10,1
8,2,1,8,-5,-10,-10,-5,2
8,2,2,8,10,5,5,10,1
8,1,1,9,-6,-5,-10,-4.99,1
8,1,2,9,10,4.99,6,5,1
8,2,1,9,-6,-5,-10,-4.99,1
8,2,2,9,10,4.99,6,5,1
8,1,1,10,-4,-5,-10,-4.99,1
8,1,2,10,10,4.99,4,5,1
8,2,1,10,-4,-5,-10,-4.99,1
8,2,2,10,10,4.99,4,5,1
8,1,1,11,-10,-6,-10,-5,2
8,1,2,11,10,5,10,6,2
8,2,1,11,-10,-6,-10,-5,2
8,2,2,11,10,5,10,6,1
8,1,1,12,-10,-12,-8,-10,2
8,1,2,12,8,10,10,12,2
8,2,1,12,-10,-12,-8,-10,2
8,2,2,12,8,10,10,12,2
9,1,1,1,-5,-15,-15,-5,1
9,1,2,1,15,5,5,15,1
9,2,1,1,-5,-15,-15,-5,1
9,2,2,1,15,5,5,15,1
9,1,1,2,-5,-15,-6,-5,2
9,1,2,2,6,5,5,15,2
9,2,1,2,-5,-15,-6,-5,2
9,2,2,2,6,5,5,15,2
9,1,1,3,-5,-6,-6,-5,1
9,1,2,3,6,5,5,6,1
9,2,1,3,-5,-6,-6,-5,2
9,2,2,3,6,5,5,6,2
9,1,1,4,-5,-20,-20,-5,2
9,1,2,4,20,5,5,20,1
9,2,1,4,-5,-20,-20,-5,1
9,2,2,4,20,5,5,20,1
9,1,1,5,-5,-10,-6,-5,2
9,1,2,5,6,5,5,10,2
9,2,1,5,-5,-10,-6,-5,2
9,2,2,5,6,5,5,10,2
9,1,1,6,-10,-12,-12,-10,1
9,1,2,6,12,10,10,12,1
9,2,1,6,-10,-12,-12,-10,2
9,2,2,6,12,10,10,12,2
9,1,1,7,-5,-20,-10,-5,2
9,1,2,7,10,5,5,20,2
9,2,1,7,-5,-20,-10,-5,2
9,2,2,7,10,5,5,20,2
9,1,1,8,-5,-10,-10,-5,1
9,1,2,8,10,5,5,10,1
9,2,1,8,-5,-10,-10,-5,2
9,2,2,8,10,5,5,10,1
9,1,1,9,-6,-5,-10,-4.99,1
9,1,2,9,10,4.99,6,5,1
9,2,1,9,-6,-5,-10,-4.99,1
9,2,2,9,10,4.99,6,5,1
9,1,1,10,-4,-5,-10,-4.99,1
9,1,2,10,10,4.99,4,5,1
9,2,1,10,-4,-5,-10,-4.99,1
9,2,2,10,10,4.99,4,5,1
9,1,1,11,-10,-6,-10,-5,2
9,1,2,11,10,5,10,6,2
9,2,1,11,-10,-6,-10,-5,2
9,2,2,11,10,5,10,6,2
9,1,1,12,-10,-12,-8,-10,2
9,1,2,12,8,10,10,12,2
9,2,1,12,-10,-12,-8,-10,2
9,2,2,12,8,10,10,12,2
10,1,1,1,-5,-15,-15,-5,2
10,1,2,1,15,5,5,15,1
10,2,1,1,-5,-15,-15,-5,1
10,2,2,1,15,5,5,15,1
10,1,1,2,-5,-15,-6,-5,2
10,1,2,2,6,5,5,15,1
10,2,1,2,-5,-15,-6,-5,2
10,2,2,2,6,5,5,15,2
10,1,1,3,-5,-6,-6,-5,2
10,1,2,3,6,5,5,6,2
10,2,1,3,-5,-6,-6,-5,2
10,2,2,3,6,5,5,6,1
10,1,1,4,-5,-20,-20,-5,1
10,1,2,4,20,5,5,20,1
10,2,1,4,-5,-20,-20,-5,1
10,2,2,4,20,5,5,20,1
10,1,1,5,-5,-10,-6,-5,2
10,1,2,5,6,5,5,10,1
10,2,1,5,-5,-10,-6,-5,2
10,2,2,5,6,5,5,10,2
10,1,1,6,-10,-12,-12,-10,2
10,1,2,6,12,10,10,12,2
10,2,1,6,-10,-12,-12,-10,2
10,2,2,6,12,10,10,12,2
10,1,1,7,-5,-20,-10,-5,2
10,1,2,7,10,5,5,20,1
10,2,1,7,-5,-20,-10,-5,2
10,2,2,7,10,5,5,20,2
10,1,1,8,-5,-10,-10,-5,1
10,1,2,8,10,5,5,10,2
10,2,1,8,-5,-10,-10,-5,2
10,2,2,8,10,5,5,10,2
10,1,1,9,-6,-5,-10,-4.99,1
10,1,2,9,10,4.99,6,5,2
10,2,1,9,-6,-5,-10,-4.99,1
10,2,2,9,10,4.99,6,5,1
10,1,1,10,-4,-5,-10,-4.99,1
10,1,2,10,10,4.99,4,5,1
10,2,1,10,-4,-5,-10,-4.99,1
10,2,2,10,10,4.99,4,5,1
10,1,1,11,-10,-6,-10,-5,2
10,1,2,11,10,5,10,6,2
10,2,1,11,-10,-6,-10,-5,2
10,2,2,11,10,5,10,6,2
10,1,1,12,-10,-12,-8,-10,2
10,1,2,12,8,10,10,12,2
10,2,1,12,-10,-12,-8,-10,2
10,2,2,12,8,10,10,12,2
11,1,1,1,-5,-15,-15,-5,1
11,1,2,1,15,5,5,15,1
11,2,1,1,-5,-15,-15,-5,1
11,2,2,1,15,5,5,15,1
11,1,1,2,-5,-15,-6,-5,2
11,1,2,2,6,5,5,15,1
11,2,1,2,-5,-15,-6,-5,2
11,2,2,2,6,5,5,15,1
11,1,1,3,-5,-6,-6,-5,2
11,1,2,3,6,5,5,6,2
11,2,1,3,-5,-6,-6,-5,1
11,2,2,3,6,5,5,6,1
11,1,1,4,-5,-20,-20,-5,1
11,1,2,4,20,5,5,20,1
11,2,1,4,-5,-20,-20,-5,1
11,2,2,4,20,5,5,20,1
11,1,1,5,-5,-10,-6,-5,2
11,1,2,5,6,5,5,10,1
11,2,1,5,-5,-10,-6,-5,1
11,2,2,5,6,5,5,10,1
11,1,1,6,-10,-12,-12,-10,1
11,1,2,6,12,10,10,12,1
11,2,1,6,-10,-12,-12,-10,2
11,2,2,6,12,10,10,12,2
11,1,1,7,-5,-20,-10,-5,1
11,1,2,7,10,5,5,20,1
11,2,1,7,-5,-20,-10,-5,2
11,2,2,7,10,5,5,20,2
11,1,1,8,-5,-10,-10,-5,1
11,1,2,8,10,5,5,10,1
11,2,1,8,-5,-10,-10,-5,2
11,2,2,8,10,5,5,10,2
11,1,1,9,-6,-5,-10,-4.99,1
11,1,2,9,10,4.99,6,5,2
11,2,1,9,-6,-5,-10,-4.99,1
11,2,2,9,10,4.99,6,5,1
11,1,1,10,-4,-5,-10,-4.99,1
11,1,2,10,10,4.99,4,5,1
11,2,1,10,-4,-5,-10,-4.99,1
11,2,2,10,10,4.99,4,5,2
11,1,1,11,-10,-6,-10,-5,2
11,1,2,11,10,5,10,6,2
11,2,1,11,-10,-6,-10,-5,2
11,2,2,11,10,5,10,6,2
11,1,1,12,-10,-12,-8,-10,2
11,1,2,12,8,10,10,12,2
11,2,1,12,-10,-12,-8,-10,2
11,2,2,12,8,10,10,12,2
12,1,1,1,-5,-15,-15,-5,1
12,1,2,1,15,5,5,15,1
12,2,1,1,-5,-15,-15,-5,1
12,2,2,1,15,5,5,15,2
12,1,1,2,-5,-15,-6,-5,2
12,1,2,2,6,5,5,15,1
12,2,1,2,-5,-15,-6,-5,2
12,2,2,2,6,5,5,15,1
12,1,1,3,-5,-6,-6,-5,1
12,1,2,3,6,5,5,6,1
12,2,1,3,-5,-6,-6,-5,2
12,2,2,3,6,5,5,6,1
12,1,1,4,-5,-20,-20,-5,1
12,1,2,4,20,5,5,20,2
12,2,1,4,-5,-20,-20,-5,1
12,2,2,4,20,5,5,20,1
12,1,1,5,-5,-10,-6,-5,1
12,1,2,5,6,5,5,10,1
12,2,1,5,-5,-10,-6,-5,2
12,2,2,5,6,5,5,10,1
12,1,1,6,-10,-12,-12,-10,1
12,1,2,6,12,10,10,12,2
12,2,1,6,-10,-12,-12,-10,2
12,2,2,6,12,10,10,12,2
12,1,1,7,-5,-20,-10,-5,2
12,1,2,7,10,5,5,20,1
12,2,1,7,-5,-20,-10,-5,1
12,2,2,7,10,5,5,20,1
12,1,1,8,-5,-10,-10,-5,2
12,1,2,8,10,5,5,10,1
12,2,1,8,-5,-10,-10,-5,1
12,2,2,8,10,5,5,10,1
12,1,1,9,-6,-5,-10,-4.99,1
12,1,2,9,10,4.99,6,5,1
12,2,1,9,-6,-5,-10,-4.99,1
12,2,2,9,10,4.99,6,5,2
12,1,1,10,-4,-5,-10,-4.99,1
12,1,2,10,10,4.99,4,5,2
12,2,1,10,-4,-5,-10,-4.99,1
12,2,2,10,10,4.99,4,5,2
12,1,1,11,-10,-6,-10,-5,1
12,1,2,11,10,5,10,6,2
12,2,1,11,-10,-6,-10,-5,2
12,2,2,11,10,5,10,6,2
12,1,1,12,-10,-12,-8,-10,2
12,1,2,12,8,10,10,12,2
12,2,1,12,-10,-12,-8,-10,2
12,2,2,12,8,10,10,12,2
13,1,1,1,-5,-15,-15,-5,1
13,1,2,1,15,5,5,15,1
13,2,1,1,-5,-15,-15,-5,2
13,2,2,1,15,5,5,15,1
13,1,1,2,-5,-15,-6,-5,2
13,1,2,2,6,5,5,15,1
13,2,1,2,-5,-15,-6,-5,2
13,2,2,2,6,5,5,15,2
13,1,1,3,-5,-6,-6,-5,1
13,1,2,3,6,5,5,6,1
13,2,1,3,-5,-6,-6,-5,2
13,2,2,3,6,5,5,6,2
13,1,1,4,-5,-20,-20,-5,1
13,1,2,4,20,5,5,20,1
13,2,1,4,-5,-20,-20,-5,1
13,2,2,4,20,5,5,20,1
13,1,1,5,-5,-10,-6,-5,2
13,1,2,5,6,5,5,10,1
13,2,1,5,-5,-10,-6,-5,1
13,2,2,5,6,5,5,10,1
13,1,1,6,-10,-12,-12,-10,1
13,1,2,6,12,10,10,12,1
13,2,1,6,-10,-12,-12,-10,1
13,2,2,6,12,10,10,12,2
13,1,1,7,-5,-20,-10,-5,2
13,1,2,7,10,5,5,20,1
13,2,1,7,-5,-20,-10,-5,1
13,2,2,7,10,5,5,20,1
13,1,1,8,-5,-10,-10,-5,1
13,1,2,8,10,5,5,10,1
13,2,1,8,-5,-10,-10,-5,1
13,2,2,8,10,5,5,10,1
13,1,1,9,-6,-5,-10,-4.99,1
13,1,2,9,10,4.99,6,5,1
13,2,1,9,-6,-5,-10,-4.99,1
13,2,2,9,10,4.99,6,5,1
13,1,1,10,-4,-5,-10,-4.99,1
13,1,2,10,10,4.99,4,5,1
13,2,1,10,-4,-5,-10,-4.99,1
13,2,2,10,10,4.99,4,5,1
13,1,1,11,-10,-6,-10,-5,2
13,1,2,11,10,5,10,6,2
13,2,1,11,-10,-6,-10,-5,2
13,2,2,11,10,5,10,6,2
13,1,1,12,-10,-12,-8,-10,1
13,1,2,12,8,10,10,12,2
13,2,1,12,-10,-12,-8,-10,2
13,2,2,12,8,10,10,12,2
14,1,1,1,-5,-15,-15,-5,1
14,1,2,1,15,5,5,15,1
14,2,1,1,-5,-15,-15,-5,2
14,2,2,1,15,5,5,15,2
14,1,1,2,-5,-15,-6,-5,1
14,1,2,2,6,5,5,15,1
14,2,1,2,-5,-15,-6,-5,2
14,2,2,2,6,5,5,15,2
14,1,1,3,-5,-6,-6,-5,1
14,1,2,3,6,5,5,6,1
14,2,1,3,-5,-6,-6,-5,2
14,2,2,3,6,5,5,6,2
14,1,1,4,-5,-20,-20,-5,1
14,1,2,4,20,5,5,20,1
14,2,1,4,-5,-20,-20,-5,2
14,2,2,4,20,5,5,20,2
14,1,1,5,-5,-10,-6,-5,1
14,1,2,5,6,5,5,10,1
14,2,1,5,-5,-10,-6,-5,2
14,2,2,5,6,5,5,10,2
14,1,1,6,-10,-12,-12,-10,1
14,1,2,6,12,10,10,12,1
14,2,1,6,-10,-12,-12,-10,2
14,2,2,6,12,10,10,12,2
14,1,1,7,-5,-20,-10,-5,1
14,1,2,7,10,5,5,20,1
14,2,1,7,-5,-20,-10,-5,2
14,2,2,7,10,5,5,20,2
14,1,1,8,-5,-10,-10,-5,1
14,1,2,8,10,5,5,10,1
14,2,1,8,-5,-10,-10,-5,2
14,2,2,8,10,5,5,10,2
14,1,1,9,-6,-5,-10,-4.99,1
14,1,2,9,10,4.99,6,5,1
14,2,1,9,-6,-5,-10,-4.99,2
14,2,2,9,10,4.99,6,5,2
14,1,1,10,-4,-5,-10,-4.99,1
14,1,2,10,10,4.99,4,5,1
14,2,1,10,-4,-5,-10,-4.99,2
14,2,2,10,10,4.99,4,5,2
14,1,1,11,-10,-6,-10,-5,2
14,1,2,11,10,5,10,6,2
14,2,1,11,-10,-6,-10,-5,1
14,2,2,11,10,5,10,6,2
14,1,1,12,-10,-12,-8,-10,2
14,1,2,12,8,10,10,12,2
14,2,1,12,-10,-12,-8,-10,1
14,2,2,12,8,10,10,12,1
15,1,1,1,-5,-15,-15,-5,1
15,1,2,1,15,5,5,15,1
15,2,1,1,-5,-15,-15,-5,2
15,2,2,1,15,5,5,15,2
15,1,1,2,-5,-15,-6,-5,2
15,1,2,2,6,5,5,15,2
15,2,1,2,-5,-15,-6,-5,2
15,2,2,2,6,5,5,15,2
15,1,1,3,-5,-6,-6,-5,1
15,1,2,3,6,5,5,6,1
15,2,1,3,-5,-6,-6,-5,2
15,2,2,3,6,5,5,6,2
